Status,Type,Application Number,License Number,Entity Name,Street,City,State,Zip Code,Latitude,Longitude,Georeference
Active,Adult-Use Retail,OCMRETL-2023-000407,OCM-RETL-24-000052,Alyssa M Renko,6041 S Transit Rd,South Lockport,NY,14094,43.1293903,-78.69680487,POINT (-78.69680487 43.1293903)
Active,CAURD Retail,OCMCAURDP-2023-000223,OCM-CAURD-24-000146,"Green Health, L.L.C.",1190 Lexington Ave,New York,NY,10028,40.77635153,-73.95796495,POINT (-73.95796495 40.77635153)
Active,CAURD Retail,OCMCAURDP-2023-000225,OCM-CAURD-24-000114,Cannadreams Inc.,862 9th Ave,New York,NY,10019,40.76712085,-73.98620866,POINT (-73.98620866 40.76712085)
Active,CAURD Retail,OCMCAURDP-2023-000050,OCM-CAURD-23-000023,Gotham Buds LLC,248 West 125th Street,Harlem,NY,10027,40.80951202,-73.94975673,POINT (-73.94975673 40.80951202)
Active,CAURD Retail,OCMCAURDP-2023-000057,OCM-CAURD-24-000183,NugHub NY LLC,1350 Forest Ave,Staten Island,NY,10302,40.62579694,-74.13453373,POINT (-74.13453373 40.62579694)
Active,CAURD Retail,OCMCAURDP-2024-000017,OCM-CAURD-24-000166,"MedaBlue, LLC",214 3rd Ave,New York,NY,10003,40.73615239,-73.98518544,POINT (-73.98518544 40.73615239)
Pending,Adult-Use Retail,OCMRETL-2023-000262,,Green Leaf Wellness Co. LLC,971 Albany Shaker Rd,Latham,NY,12110,42.76352798,-73.81498693,POINT (-73.81498693 42.76352798)
Active,CAURD Retail,OCMCAURDP-2023-000215,OCM-CAURD-24-000110,Daniel S Dennis I,2988 US-20,Seneca Falls,NY,13148,42.94957653,-76.76648004,POINT (-76.76648004 42.94957653)
Pending,CAURD Retail,OCMCAURDP-2023-000152,,RMAN Holdings LLC,8412 3rd Ave,Brooklyn,NY,11209,40.62490293,-74.03054938,POINT (-74.03054938 40.62490293)
Pending,CAURD Retail,OCMCAURDP-2024-000062,,"4 Jays, LLC",2500 South Rd,Poughkeepsie,NY,12601,41.65990699,-73.93022661,POINT (-73.93022661 41.65990699)
Active,Adult-Use Microbusiness,OCMMICR-2023-000299,OCM-MICR-24-000161,Bossiee Budz LLC,1337 Corbin Hill Rd,Sloansville,NY,12160,42.76973,-74.426743,POINT (-74.426743 42.76973)
Pending,Adult-Use Retail,OCMRETL-2023-001755,,Buds R Us LLC,249 W 34th St,New York,NY,10001,40.75144081,-73.99153042,POINT (-73.99153042 40.75144081)
Pending,Adult-Use Retail,OCMRETL-2023-000872,,Saginaw Distributors LLC,1425 Jefferson Rd Ste 4,Rochester,NY,14623,43.08696614,-77.59127793,POINT (-77.59127793 43.08696614)
Active,CAURD Retail,OCMCAURDP-2023-000090,OCM-CAURD-24-000121,"Organic Relief Leaf, LLC",977 2nd Avenue,New York,NY,10022,40.75599558,-73.96779174,POINT (-73.96779174 40.75599558)
Active,CAURD Retail,OCMCAURDP-2023-000064,OCM-CAURD-23-000043,716 Cannabis,2053 Electric Avenue,Blasdell,NY,14219,42.80285619,-78.82899819,POINT (-78.82899819 42.80285619)
Pending,Adult-Use Retail,,,AU Pending Location,50 Old Fulton St,Brooklyn,NY,11201,40.70212733,-73.99285525,POINT (-73.99285525 40.70212733)
Active,CAURD Retail,OCMCAURDP-2023-000075,OCM-CAURD-24-000122,The Next Chapter NY LLC,28 Route 59,Nyack,NY,10960,41.0911021,-73.91871714,POINT (-73.91871714 41.0911021)
Active,Adult-Use Retail,OCMRETL-2023-001475,OCM-RETL-24-000057,"Harmony Horizon, LLC",1972 Central Avenue,Albany,NY,12205,42.74089129,-73.85952627,POINT (-73.85952627 42.74089129)
Active,RO Medical,,MM0904D,"Citiva Medical, LLC",1147 Route 9,Wappingers Falls,NY,12590,41.56644398,-73.90728622,POINT (-73.90728622 41.56644398)
Active,CAURD Retail,OCMCAURDP-2023-000025,OCM-CAURD-24-000096,Smiley Exotics,201 E 30th St,New York,NY,10016,40.74323059,-73.97985545,POINT (-73.97985545 40.74323059)
Pending,Adult-Use Retail,OCMRETL-2023-001652,,L Train Agency LLC,2183 Montauk Hwy,Bridgehampton,NY,11932,40.93394621,-72.31057609,POINT (-72.31057609 40.93394621)
Active,CAURD Retail,OCMCAURDP-2024-000075,OCM-CAURD-24-000189,High Peaks Canna Inc.,137 Maple Ave,Saratoga Springs,NY,12866,43.08758799,-73.78031761,POINT (-73.78031761 43.08758799)
Active,CAURD Retail,OCMCAURDP-2023-000237,OCM-CAURD-24-000164,Cori Rodriguez,2075 Central Ave,Schenectady,NY,12304,42.75162859,-73.87154932,POINT (-73.87154932 42.75162859)
Pending,Adult-Use Retail,OCMRETL-2023-002067,,Cannary LLC,204 E Main St,Batavia,NY,14020,42.99725297,-78.18146354,POINT (-78.18146354 42.99725297)
Active,RO Medical & Adult-Use,,MM0705D,"Fiorello Pharmaceuticals, Inc.",1675 US-9,Clifton Park,NY,12065,42.85980846,-73.76484286,POINT (-73.76484286 42.85980846)
Pending,CAURD Retail,OCMCAURDP-2023-000001,,Albert D Capraro,488 A East Main Street,Patchogue,NY,11772,40.76595255,-73.00709092,POINT (-73.00709092 40.76595255)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000147,,Matthew Burke,2 Ann St,Amsterdam,NY,12010,42.9500387,-74.2128425,POINT (-74.2128425 42.9500387)
Pending,Adult-Use Retail,OCMRETL-2023-001374,,Sukoon Ventures LLC,810 Pennsylvania Ave,Brooklyn,NY,11207,40.65807965,-73.89033592,POINT (-73.89033592 40.65807965)
Pending,Adult-Use Retail,OCMRETL-2023-000194,,"SMOKELADA WHOLESALE, INC.",1081 Union Rd,West Seneca,NY,14224,42.82991185,-78.75348422,POINT (-78.75348422 42.82991185)
Pending,Adult-Use Retail,OCMRETL-2023-001742,,Green Strain Relaxation Corp,107-29 Liberty Ave,Ozone Park,NY,11417,40.68377072,-73.833758,POINT (-73.833758 40.68377072)
Active,Adult-Use Microbusiness,OCMMICR-2023-000198,OCM-MICR-24-000067,Back To The Land Herbs llc,309 Miner Street Rd,Canton,NY,13617,44.57595219,-75.1681348,POINT (-75.1681348 44.57595219)
Pending,Adult-Use Retail,OCMRETL-2023-000306,,Enterprise HQ Corp.,12 Amsterdam Ave,Medford,NY,11763,40.81661898,-72.96695442,POINT (-72.96695442 40.81661898)
Pending,Adult-Use Retail,OCMRETL-2023-001296,,NATURAL LEAF INC.,928 Straight Path,West Babylon,NY,11704,40.72418901,-73.37642923,POINT (-73.37642923 40.72418901)
Pending,CAURD Retail,OCMCAURDP-2024-000029,,Level Up Nyc Corp.,405 W 39th St,New York,NY,10018,40.75661994,-73.99408349,POINT (-73.99408349 40.75661994)
Pending,Adult-Use Retail,OCMRETL-2023-000769,,JD Naturals LLC,8063 State Route 12 Ste 3,Barneveld,NY,13304,43.25342363,-75.18488103,POINT (-75.18488103 43.25342363)
Active,Adult-Use Retail,OCMRETL-2023-001356,OCM-RETL-24-000158,Serenity Greens LLC,2245 South Rd,Poughkeepsie,NY,12601,41.64375762,-73.92183193,POINT (-73.92183193 41.64375762)
Active,Adult-Use Microbusiness,OCMMICR-2023-000351,OCM-MICR-24-000004,Terrace Corporation of New York,54 Nelson Ave Ext,Saratoga Springs,NY,12866,43.05079513,-73.77455361,POINT (-73.77455361 43.05079513)
Active,CAURD Retail,OCMCAURDP-2023-000049,OCM-CAURD-23-000035,Happy Days Dispensary Inc.,105 Route 109,Farmingdale,NY,11735,40.73104755,-73.45537933,POINT (-73.45537933 40.73104755)
Active,Adult-Use Retail,OCMRETL-2023-001398,OCM-RETL-24-000050,Hoosick Dispensary LLC,260 Hoosick Street,Troy,NY,12180,42.73834132,-73.67100253,POINT (-73.67100253 42.73834132)
Active,Adult-Use Retail,OCMRETL-2023-001337,OCM-RETL-24-000112,Plant Meets Public LLC,17 Tinker St,Woodstock,NY,12498,42.04066813,-74.11899558,POINT (-74.11899558 42.04066813)
Pending,Adult-Use Retail,OCMRETL-2023-001185,,NNC 2 LLC,496 Broadway,Newburgh,NY,12550,41.50139128,-74.03025478,POINT (-74.03025478 41.50139128)
Active,Adult-Use Retail,OCMRETL-2023-001473,OCM-RETL-24-000046,KiKi Buddz Corp.,50-22 72nd St.,Woodside,NY,11377,40.73679843,-73.8923467,POINT (-73.8923467 40.73679843)
Active,CAURD Retail,OCMCAURDP-2024-000026,OCM-CAURD-24-000175,NYS CANNABIS PARTNERS INC.,2552 Linden Blvd,Brooklyn,NY,11208,40.66768872,-73.870033,POINT (-73.870033 40.66768872)
Active,Adult-Use Retail,OCMRETL-C-2024-000004,OCM-RETL-24-000002,H&O City Heart Inc.,1517 Helderberg Ave,Rotterdam,NY,12306,42.78716059,-73.95958376,POINT (-73.95958376 42.78716059)
Pending,Adult-Use Retail,OCMRETL-2023-000430,,SMACKED 2 CONVENIENCE CORP,11630 SPRINGFIELD BLVD,Cambria Hts,NY,11411,40.69684233,-73.74345619,POINT (-73.74345619 40.69684233)
Pending,Adult-Use Retail,OCMRETL-2023-001714,,Emerald Eclipse LLC,1939 Grand Island Blvd,Grand Island,NY,14072,43.01438803,-78.95577627,POINT (-78.95577627 43.01438803)
Active,Adult-Use Microbusiness,OCMMICR-2023-000131,OCM-MICR-24-000050,VJ Farms LLC,544 Main St,Beacon,NY,12508,41.50258476,-73.96303611,POINT (-73.96303611 41.50258476)
Active,Adult-Use Retail,OCMRETL-2023-000298,OCM-RETL-24-000143,Zootiez LLC,5440 Route 9W,Newburgh,NY,12550,41.5702398,-73.99249414,POINT (-73.99249414 41.5702398)
Pending,Adult-Use Retail,OCMRETL-2023-001353,,Deep XY Holding LLC,25202 Rockaway Blvd,Rosedale,NY,11422,40.6366996,-73.74061198,POINT (-73.74061198 40.6366996)
Pending,Adult-Use Retail,OCMRETL-2023-002009,,"Chesterfield Cannabis Co., LLC",89 Kent St,Keesville,NY,12944,44.50508115,-73.47783569,POINT (-73.47783569 44.50508115)
Pending,Adult-Use Retail,OCMRETL-2023-001163,,Jackpot 420 LLC,3262 Francis Lewis Blvd.,Flushing,NY,11358,40.76781848,-73.79104444,POINT (-73.79104444 40.76781848)
Active,RO Medical,,MM0103D,"PharmaCann of New York, LLC.",642 Old Liverpool Rd.,Liverpool,NY,13088,43.09243393,-76.19326742,POINT (-76.19326742 43.09243393)
Pending,Adult-Use Retail,OCMRETL-2023-001409,,"LEAFFIELD, LLC",3046 Niagara Falls Blvd,Wheatfield,NY,14120,43.08302422,-78.87738947,POINT (-78.87738947 43.08302422)
Pending,CAURD Retail,OCMCAURDP-2023-000183,,NY Flos LLC,45 Aqueduct Rd,White Plains,NY,10606,41.03617769,-73.78240231,POINT (-73.78240231 41.03617769)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000416,,Sticky Bandits llc,98 Wilson Rd,Catskill,NY,12414,42.24662749,-73.95828121,POINT (-73.95828121 42.24662749)
Active,CAURD Retail,OCMCAURDP-2023-000124,OCM-CAURD-24-000078,EGRH LLC,531 Warren St,Hudson,NY,12534,42.24905835,-73.78600863,POINT (-73.78600863 42.24905835)
Pending,Adult-Use Retail,OCMRETL-2023-001700,,Modern Growth LLC,420 Grant St,Buffalo,NY,14213,42.92544209,-78.88976979,POINT (-78.88976979 42.92544209)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000390,,"Upstate New York Cannabis and Clone Company, LLC",75 King Rd,Buskirk,NY,12028,42.96344435,-73.43784119,POINT (-73.43784119 42.96344435)
Active,Adult-Use Retail,OCMRETL-2023-001546,OCM-RETL-24-000086,"Bud Dispensary Company, LLC",143 George St,Oswego,NY,13126,43.46271866,-76.48530708,POINT (-76.48530708 43.46271866)
Pending,Adult-Use Retail,OCMRETL-2023-000539,,Main St Convenience Store 1 Corp,388 Main St,Poughkeepsie,NY,12601,41.70213164,-73.92381763,POINT (-73.92381763 41.70213164)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000257,,"Opulent Oasis, LLC",135 Walling Rd,Warwick,NY,10990,41.26457648,-74.44563283,POINT (-74.44563283 41.26457648)
Active,CAURD Retail,OCMCAURDP-2023-000118,OCM-CAURD-24-000087,Weedish LLC,128 E 86th St,New York,NY,10028,40.77968304,-73.95618351,POINT (-73.95618351 40.77968304)
Active,Adult-Use Retail,OCMRETL-2023-001638,OCM-RETL-24-000044,Goldleaf Cannabis LLC,235 Fairview Ave,Hudson,NY,12534,42.26116041,-73.76485054,POINT (-73.76485054 42.26116041)
Pending,CAURD Retail,OCMCAURDP-2024-000025,,212Partners,1119 Broadway,Brooklyn,NY,11221,40.69383871,-73.92954066,POINT (-73.92954066 40.69383871)
Pending,Adult-Use Retail,OCMRETL-2023-002138,,CANNABIS HORIZON HOLDINGS,938 Intervale Ave,Bronx,NY,10459,40.82052457,-73.8968733,POINT (-73.8968733 40.82052457)
Active,Adult-Use Retail,OCMRETL-2023-001809,OCM-RETL-24-000183,Yonkers Grown LLC,678 Central Park Ave,Yonkers,NY,10704,40.92407295,-73.85863792,POINT (-73.85863792 40.92407295)
Pending,Adult-Use Retail,OCMRETL-2023-000478,,"G.C. Roasting, Inc.",609 Main St,Catskill,NY,12414,42.29639,-73.86068,POINT (-73.86068 42.29639)
Active,Adult-Use Retail,OCMRETL-2023-001848,OCM-RETL-24-000068,AAR CANN LLC,110-04 Jamaica Ave.,Queens,NY,11418,40.69638437,-73.83776574,POINT (-73.83776574 40.69638437)
Active,Adult-Use Retail,OCMRETL-2023-000045,OCM-RETL-24-000119,Farmers Choice Dispensary 2 LLC,1 Old Route 299,New Paltz,NY,12561,41.74133871,-74.05738428,POINT (-74.05738428 41.74133871)
Active,Adult-Use Microbusiness,OCMMICR-2023-000600,OCM-MICR-24-000091,Bunker's Hemp LLC,7810 Cypress Ave,Glendale,NY,11385,40.69504861,-73.89858814,POINT (-73.89858814 40.69504861)
Pending,Adult-Use Retail,OCMRETL-2023-000334,,LIT NYC INC,456 Avenue P,Brooklyn,NY,11223,40.60902765,-73.97059777,POINT (-73.97059777 40.60902765)
Active,CAURD Retail,OCMCAURDP-2023-000169,OCM-CAURD-24-000170,Brian Stark Enterprises LLC,1086 Old Country Rd,Riverhead,NY,11901,40.9299792,-72.68140476,POINT (-72.68140476 40.9299792)
Active,CAURD Retail,OCMCAURDP-2023-000011,OCM-CAURD-23-000011,Stage One Cannabis LLC,810C Broadway,Rensselaer,NY,12144,42.64636213,-73.7396257,POINT (-73.7396257 42.64636213)
Active,Adult-Use Retail,OCMRETL-2023-000722,OCM-RETL-24-000153,Luxus Botanica,8234 Turin Rd Ste 1,Rome,NY,13440,43.26002304,-75.46219116,POINT (-75.46219116 43.26002304)
Active,Adult-Use Microbusiness,OCMMICR-2023-000215,OCM-MICR-24-000109,"Raven's View Genetics, LLC",3664 County Road 18,Delhi,NY,13753,42.30847361,-74.83962335,POINT (-74.83962335 42.30847361)
Pending,Adult-Use Retail,OCMRETL-2023-000975,,Green Essentials Naturally of NY LLC,3734 State Highway 30,Amsterdam,NY,12010,43.0440983,-74.21379411,POINT (-74.21379411 43.0440983)
Pending,RO Medical,,,Hudson Health Extracts,427 Broadway,New York,NY,10013,40.71991661,-74.00152754,POINT (-74.00152754 40.71991661)
Pending,Adult-Use Retail,OCMRETL-2023-001729,,Windward Management LLC,208 Broadway,Brooklyn,NY,11211,40.70953983,-73.96137231,POINT (-73.96137231 40.70953983)
Active,CAURD Retail,OCMCAURDP-2023-000014,OCM-CAURD-24-000080,Social Equity CAURD JV LLC,74-03 Metropolitan Avenue,Queens,NY,11379,40.71290992,-73.87808322,POINT (-73.87808322 40.71290992)
Pending,Adult-Use Retail,OCMRETL-2023-001507,,Best Dispensary Near Me Front St LLC,350 Front St,Staten Island,NY,10304,40.62855976,-74.07455557,POINT (-74.07455557 40.62855976)
Pending,CAURD Retail,OCMCAURDP-2023-000221,,"Empire State Gallery Holdings, LLC",2200 Walden Ave,Cheektowaga,NY,14225,42.90715742,-78.7541735,POINT (-78.7541735 42.90715742)
Pending,Adult-Use Retail,OCMRETL-2023-001147,,Heavenly Garden NY INC,279 East Main St,Port Jervis,NY,12771,41.35847461,-74.68344188,POINT (-74.68344188 41.35847461)
Pending,Adult-Use Retail,OCMRETL-2023-001794,,Cream 4004 LLC,4004 74th Street,Flushing,NY,11373,40.74648396,-73.89143564,POINT (-73.89143564 40.74648396)
Active,CAURD Retail,OCMCAURDP-2023-000077,OCM-CAURD-24-000082,T & C Distribution LLC,182 Fifth Ave,New York,NY,10010,40.74117574,-73.9899368,POINT (-73.9899368 40.74117574)
Active,Adult-Use Retail,OCMRETL-2023-001555,OCM-RETL-24-000015,Highland Gallery LLC,501 Route 9W,Piermont,NY,10968,41.032178,-73.926533,POINT (-73.926533 41.032178)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000130,,Blazin Red Horse LLC,1380 State Route 104,Ontario,NY,14519,43.22750226,-77.31385077,POINT (-77.31385077 43.22750226)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000098,,Christopher D Casacci,8806 Tonawanda Creek Rd,Clarence Center,NY,14032,43.08499775,-78.66360456,POINT (-78.66360456 43.08499775)
Active,RO Medical & Adult-Use,,MM0403D,"Etain, LLC.",445 State Route 28,Kingston,NY,12401,41.96291249,-74.06154594,POINT (-74.06154594 41.96291249)
Pending,Adult-Use Retail,OCMRETL-2023-001776,,Tree Market NY LLC,2470 Hamburg Tpke,Lackawanna,NY,14218,42.81777578,-78.84688272,POINT (-78.84688272 42.81777578)
Active,CAURD Retail,OCMCAURDP-2023-000023,OCM-CAURD-24-000185,Anthony Crapanzano,1938 Clove Rd,Staten Island,NY,10304,40.60609108,-74.08685418,POINT (-74.08685418 40.60609108)
Pending,Adult-Use Retail,OCMRETL-2023-001695,,Kingston Cannabis LLC,728 Broadway,Kingston,NY,12401,41.9316032,-74.00984838,POINT (-74.00984838 41.9316032)
Pending,Adult-Use Retail,OCMRETL-2023-000465,,Pineapple Xpress LLC,467 State St,Rochester,NY,14608,43.16292523,-77.62139201,POINT (-77.62139201 43.16292523)
Pending,Adult-Use Retail,OCMRETL-2023-001020,,Cannageo Inc.,5507 Nesconset Hwy Ste 12A,Mount Sinai,NY,11766,40.92876998,-73.04072364,POINT (-73.04072364 40.92876998)
Pending,Adult-Use Retail,OCMRETL-2023-001959,,Juan Jesus Taveras,3535 White Plains Rd,Bronx,NY,10467,40.87870103,-73.8655677,POINT (-73.8655677 40.87870103)
Active,Adult-Use Microbusiness,OCMMICR-2023-000004,OCM-MICR-24-000048,"New Dawn Ventures, LLC",222 Chicago St,Buffalo,NY,14204,42.87359177,-78.86769767,POINT (-78.86769767 42.87359177)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000468,,The Farm at Old Saratoga Mercantile LLC,1120 Route 29,Schuylerville,NY,12871,43.10843405,-73.60284803,POINT (-73.60284803 43.10843405)
Active,CAURD Retail,OCMCAURDP-2023-000013,OCM-CAURD-23-000022,"North Country Roots, Inc.",622 Lake Flower Avenue,Saranac Lake,NY,12983,44.31111607,-74.1155008,POINT (-74.1155008 44.31111607)
Pending,Adult-Use Retail,OCMRETL-2023-000788,,Hesham M Kassim,544 Flatbush Ave,Brooklyn,NY,11225,40.66048268,-73.96070031,POINT (-73.96070031 40.66048268)
Active,Adult-Use Retail,OCMRETL-2023-000320,OCM-RETL-24-000161,Mileva LLC,3873 Main St,Warrensburg,NY,12885,43.49661879,-73.77598104,POINT (-73.77598104 43.49661879)
Pending,CAURD Retail,OCMCAURDP-2023-000153,,JII Williamsburg,63 North 6th St,Brooklyn,NY,11249,40.71921688,-73.96130179,POINT (-73.96130179 40.71921688)
Active,Adult-Use Retail,OCMRETL-2023-000409,OCM-RETL-24-000176,Michael Schweikowsky,1936 S Park Ave,Buffalo,NY,14220,42.84623158,-78.82364187,POINT (-78.82364187 42.84623158)
Active,Adult-Use Retail,OCMRETL-2023-000699,OCM-RETL-24-000076,"Highlife Health, LLC",19 Huguenot St,New Rochelle,NY,10801,40.9141054,-73.7740358,POINT (-73.7740358 40.9141054)
Pending,Adult-Use Retail,OCMRETL-2023-002139,,Linden Blvd NM LLC,205-16 Linden Blvd,Saint Albans,NY,11412,40.69578564,-73.74716876,POINT (-73.74716876 40.69578564)
Active,Adult-Use Retail,OCMRETL-2023-001001,OCM-RETL-24-000103,Nitecap LLC,1151 Hylan Ave,Staten Island,NY,10305,40.59867792,-74.08110442,POINT (-74.08110442 40.59867792)
Active,RO Medical,,MM0205D,"Vireo Health of NY, LLC.",89-55 Queens Boulevard,Elmhurst,NY,11373,40.73452092,-73.87296364,POINT (-73.87296364 40.73452092)
Pending,Adult-Use Retail,OCMRETL-2023-000358,,KB Holdings 716 LLC,1699 Military Rd,Tonawanda,NY,14217,42.98371128,-78.88480782,POINT (-78.88480782 42.98371128)
Pending,CAURD Retail,,,CAURD Pending Location,1960 Empire Blvd,Penfield,NY,14580,43.19377048,-77.50180137,POINT (-77.50180137 43.19377048)
Active,RO Medical & Adult-Use,,MM0603D,"NYCANNA, LLC",2365 Broadhollow Rd.,Farmingdale,NY,11737,40.75471698,-73.42195253,POINT (-73.42195253 40.75471698)
Pending,Adult-Use Retail,OCMRETL-2023-000567,,Back Porch Cannabis Corp.,14 Kehr St,Buffalo,NY,14211,42.90550895,-78.83244772,POINT (-78.83244772 42.90550895)
Pending,Adult-Use Retail,OCMRETL-2023-000863,,Mark L Cold,656 South Ave,Rochester,NY,14620,43.14268996,-77.60447632,POINT (-77.60447632 43.14268996)
Active,Adult-Use Retail,OCMRETL-2023-002021,OCM-RETL-24-000147,Sith Lord TD Inc.,381 5th Ave,New York,NY,10016,40.74942265,-73.98375494,POINT (-73.98375494 40.74942265)
Pending,Adult-Use Retail,OCMRETL-2023-001986,,"Genesis Cannabis, LLC",300 Broadway,Albany,NY,12207,42.64719491,-73.75022713,POINT (-73.75022713 42.64719491)
Pending,Adult-Use Microbusiness,OCMMICR-C-2024-000029,,"Misty Bleu Farm, LLC",400 River St,Troy,NY,12180,42.73584312,-73.687268,POINT (-73.687268 42.73584312)
Active,CAURD Retail,OCMCAURDP-2023-000078,OCM-CAURD-24-000085,"WNYC II, LLC",665 North French Road,Amherst,NY,14228,43.03463765,-78.80032687,POINT (-78.80032687 43.03463765)
Active,CAURD Retail,OCMCAURDP-2023-000074,OCM-CAURD-23-000038,"WhiteboxTHC, LLC",334 East 73rd St,New York,NY,10021,40.769079,-73.95706608,POINT (-73.95706608 40.769079)
Active,Adult-Use Retail,OCMRETL-2023-002154,OCM-RETL-24-000154,NY Retail 2 Inc.,372 E Fordham Rd,Bronx,NY,10458,40.86177102,-73.8923698,POINT (-73.8923698 40.86177102)
Pending,Adult-Use Retail,OCMRETL-2023-002155,,J & A VAPE SHOP 8 INC,6901 14th Ave,Brooklyn,NY,11228,40.62229325,-74.00168099,POINT (-74.00168099 40.62229325)
Pending,Adult-Use Retail,OCMRETL-2023-000762,,Peers 757 Inc,1 Northern Dr,Troy,NY,12182,42.78581773,-73.66815452,POINT (-73.66815452 42.78581773)
Pending,Adult-Use Retail,OCMRETL-2023-001220,,Monty's Group Enterprise LLC,"909 State Route 9, Suite #3",Queensbury,NY,12804,43.33678159,-73.67935882,POINT (-73.67935882 43.33678159)
Active,CAURD Retail,OCMCAURDP-2023-000017,OCM-CAURD-24-000144,Half Island Flavors Llc,4219 Webster Ave,Bronx,NY,10470,40.89629776,-73.86306368,POINT (-73.86306368 40.89629776)
Pending,Adult-Use Retail,OCMRETL-2023-002106,,"Westmere Market, LLC",2028 Western Ave,Albany,NY,12203,42.69724149,-73.88686326,POINT (-73.88686326 42.69724149)
Pending,Adult-Use Retail,OCMRETL-2023-001514,,C&R Project LLC,366 Quaker Rd,Queensbury,NY,12804,43.33203786,-73.64793925,POINT (-73.64793925 43.33203786)
Active,CAURD Retail,OCMCAURDP-2023-000165,OCM-CAURD-24-000155,The Higher Company LLC,123 E Willow St,Syracuse,NY,13202,43.05242828,-76.15188371,POINT (-76.15188371 43.05242828)
Pending,Adult-Use Retail,OCMRETL-2023-000780,,"On The Move Contracting Services, LLC",1635 N Main St,Savannah,NY,13146,43.06959895,-76.76035783,POINT (-76.76035783 43.06959895)
Active,CAURD Retail,OCMCAURDP-2023-000208,OCM-CAURD-24-000187,3 - 5 Holdings LLC,423 Franklin St,Ithaca,NY,14850,42.44891701,-76.50499529,POINT (-76.50499529 42.44891701)
Pending,Adult-Use Retail,OCMRETL-2023-000015,,"Bloom Brothers NY, INC.",442 Broadway,Menands,NY,12204,42.69950222,-73.71844192,POINT (-73.71844192 42.69950222)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000312,,Yager Farms Inc,1039 Niagara St,Buffalo,NY,14213,42.91192602,-78.89976014,POINT (-78.89976014 42.91192602)
Pending,Adult-Use Retail,OCMRETL-2023-000383,,Lafayette Wines LLC,100 3rd St,Newburgh,NY,12550,41.504138,-74.01152408,POINT (-74.01152408 41.504138)
Pending,Adult-Use Retail,OCMRETL-2023-001929,,807 MAN TH LLC,807 Manhattan Ave,Brooklyn,NY,11222,40.72805743,-73.95331252,POINT (-73.95331252 40.72805743)
Pending,CAURD Retail,OCMCAURDP-2023-000143,,R&R Remedies LLC,21 Gardner Ave,Brooklyn,NY,11237,40.70852536,-73.92412454,POINT (-73.92412454 40.70852536)
Active,CAURD Retail,OCMCAURDP-2023-000012,OCM-CAURD-23-000008,Florisun LLC,33 Union Sq. W,New York,NY,10003,40.73662198,-73.99077448,POINT (-73.99077448 40.73662198)
Active,CAURD Retail,OCMCAURDP-2023-000048,OCM-CAURD-23-000032,Humble County LLC,740 Hoosick Rd,Troy,NY,12180,42.74537742,-73.64211478,POINT (-73.64211478 42.74537742)
Active,Adult-Use Retail,OCMRETL-2023-000609,OCM-RETL-24-000149,"Luisa Bella Holdings, LLC",35 Page Ave,Staten Island,NY,10309,40.52379657,-74.23470992,POINT (-74.23470992 40.52379657)
Pending,CAURD Retail,OCMCAURDP-2024-000099,,Bodega Dreams LLC,3711 Brewerton Rd,Syracuse,NY,13212,43.11660599,-76.14499511,POINT (-76.14499511 43.11660599)
Active,CAURD Retail,OCMCAURDP-2023-000175,OCM-CAURD-24-000093,AMSM LLC,2442 Clinton St,Buffalo,NY,14224,42.87148538,-78.78568749,POINT (-78.78568749 42.87148538)
Pending,Adult-Use Retail,OCMRETL-2023-000199,,Blissful Buds LLC,222 Elmira Rd,Ithaca,NY,14850,42.43013259,-76.50452777,POINT (-76.50452777 42.43013259)
Active,CAURD Retail,OCMCAURDP-2023-000180,OCM-CAURD-24-000113,"Evergreen Retail 1, LLC",51 N Main St,Brockport,NY,14420,43.21902386,-77.9373612,POINT (-77.9373612 43.21902386)
Active,Adult-Use Retail,OCMRETL-2023-000718,OCM-RETL-24-000085,Cloud 9,305 Saw Mill River Rd,Yonkers,NY,10701,40.94717538,-73.8768756,POINT (-73.8768756 40.94717538)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000088,,Beginning of Longevity Achievement Culture and Knowledge LLC,4146 Bronxwood Ave,Bronx,NY,10466,40.89008835,-73.85236102,POINT (-73.85236102 40.89008835)
Active,RO Medical,,MM0305D,"Columbia Care NY, LLC.",200 West Ridge Rd.,Rochester,NY,14615,43.19760611,-77.63327382,POINT (-77.63327382 43.19760611)
Active,CAURD Retail,OCMCAURDP-2024-000014,OCM-CAURD-24-000161,"Robinson's Cannabis Flowers, LLC",106 Everett Rd,Albany,NY,12205,42.69407315,-73.77331157,POINT (-73.77331157 42.69407315)
Active,CAURD Retail,OCMCAURDP-2023-000228,OCM-CAURD-24-000177,1106 Rebecca St Limited Liability Company,304 Ellery Street,Brooklyn,NY,11206,40.69933691,-73.9402965,POINT (-73.9402965 40.69933691)
